"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.420685375E0,-6.190975800E0,-5.658083954E0,-5.975573730E0,1.029803752E1
2.430726375E0,-6.657854919E0,-6.477929077E0,-5.256469116E0,1.067338113E1
2.440767375E0,-5.634582825E0,-6.660848694E0,-3.832180939E0,9.528957953E0
2.450807375E0,-3.887715454E0,-6.858587494E0,-6.775210876E0,1.039509674E1
2.460848375E0,-6.659950562E0,-5.187013550E0,-5.453758850E0,1.005005157E1
2.470889375E0,-7.487429810E0,-4.641098785E0,-6.002966766E0,1.066006628E1
2.480930375E0,-6.897506561E0,-4.924758911E0,-6.075416107E0,1.042782470E1
2.490971375E0,-5.534141693E0,-5.039121094E0,-4.551285553E0,8.759775446E0
2.501012375E0,-3.180136871E0,-6.201454010E0,-4.312681732E0,8.195762691E0
2.511053375E0,-4.141737213E0,-5.744005280E0,-5.492677917E0,8.961980501E0
2.521094375E0,-6.509214020E0,-4.292773132E0,-5.010680237E0,9.268478017E0
2.531135375E0,-4.802912292E0,-5.184319153E0,-4.694986725E0,8.484576119E0
2.541176375E0,-4.080215149E0,-4.937332764E0,-5.612578583E0,8.516246170E0
2.551217375E0,-6.217021637E0,-4.150718536E0,-5.379662933E0,9.209809753E0
2.561258375E0,-6.183790741E0,-4.297413483E0,-4.022884369E0,8.537600905E0
2.571299375E0,-5.044060822E0,-3.921395416E0,-3.320095825E0,7.200203321E0
2.581339375E0,-6.256539459E0,-3.726650391E0,-2.615810394E0,7.737872651E0
2.591380375E0,-5.475463715E0,-4.179608459E0,-2.729124756E0,7.409315198E0
2.601421375E0,-2.621348877E0,-4.971761169E0,-2.107617188E0,6.002660183E0
2.611462375E0,-5.215903473E0,-6.099965057E0,-3.366798706E0,8.703479549E0
2.621503375E0,-7.763306122E0,-5.965993652E0,-5.388195190E0,1.117562748E1
2.631544375E0,-7.754923553E0,-5.911207581E0,-6.873706055E0,1.193017390E1
2.641585375E0,-5.910010071E0,-4.786895599E0,-7.391030273E0,1.060518350E1
2.651626375E0,-4.595144348E0,-3.969744873E0,-2.747985535E0,6.665256967E0
2.661667375E0,-8.382268982E0,-1.047147446E1,-6.889722748E0,1.507920721E1
2.671708375E0,-8.351882172E0,-5.818699951E0,-5.361849976E0,1.150480943E1
2.681749375E0,-7.462132416E0,-5.184169464E0,-3.781586151E0,9.841718704E0
2.691790375E0,-3.674259338E0,-5.330714722E0,-2.410437469E0,6.908466539E0
2.701831375E0,-3.379073181E0,-6.414760437E0,-3.461551666E0,8.034278248E0
2.711872375E0,-5.182672577E0,-3.787573700E0,-7.936945038E0,1.020788451E1
2.721913375E0,-1.084943848E1,-8.352780304E0,-7.511230316E0,1.561722879E1
2.731953375E0,-9.033714294E0,-1.538680298E1,-4.713697815E-1,1.784891844E1
2.741994375E0,-4.177961884E0,-7.388485565E0,-7.077282715E-1,8.517391840E0
2.752035375E0,-7.963589630E0,-6.845414886E0,-1.986968079E0,1.068768015E1
2.762076375E0,-8.380173340E0,-5.462590485E0,-7.521708527E0,1.251572208E1
2.772117375E0,-5.775140533E0,-1.206341400E0,-1.157408157E1,1.299103045E1
2.782158375E0,-4.267026672E0,-2.004781036E0,-8.912316742E0,1.008246266E1
2.792199375E0,-5.204826508E0,-5.990542603E0,-3.500470734E0,8.673529559E0
2.802240375E0,-6.716981964E0,-3.770060120E0,-5.552403717E0,9.495282358E0
2.812281375E0,-6.377637634E0,-5.195845184E0,-7.169341278E0,1.091194407E1
2.822322375E0,-6.976242828E0,-5.791157227E0,-6.573280792E0,1.119881629E1
2.832363375E0,-7.574099579E0,-6.349196777E0,-6.045628052E0,1.158571977E1
2.842404375E0,-7.242688751E0,-6.031108246E0,-6.278992767E0,1.132504116E1
2.852444500E0,-6.976242828E0,-5.689518585E0,-6.402785339E0,1.104691114E1
2.862484500E0,-7.003785553E0,-5.493126984E0,-6.197412415E0,1.084598436E1
2.872525500E0,-6.606062622E0,-5.076393585E0,-6.469396820E0,1.054812450E1
2.882566500E0,-6.672823792E0,-4.698579254E0,-6.322701874E0,1.032374851E1
2.892607500E0,-6.585255890E0,-4.227508850E0,-6.179898834E0,9.971387858E0
2.902648500E0,-6.789580994E0,-3.824397125E0,-5.477858734E0,9.525301032E0
2.912689500E0,-6.515950012E0,-3.766467590E0,-5.825735321E0,9.517514103E0
2.922730500E0,-5.787714386E0,-3.711980896E0,-6.522536316E0,9.477337178E0
2.932771500E0,-6.395001526E0,-4.108506317E0,-6.250851288E0,9.841189486E0
2.942812500E0,-7.344626770E0,-4.541855164E0,-6.324498138E0,1.070379687E1
2.952853500E0,-7.034322052E0,-4.794230347E0,-6.465355225E0,1.068958135E1
2.962894500E0,-6.566395111E0,-4.772525482E0,-6.353687439E0,1.030843772E1
2.972935500E0,-6.990612946E0,-4.652325439E0,-6.716981964E0,1.075316921E1
2.982976500E0,-7.332352295E0,-4.790188751E0,-6.958729248E0,1.118629569E1
2.993017500E0,-7.816595306E0,-5.005740509E0,-7.295079803E0,1.180571004E1
3.003057500E0,-1.066307602E1,-5.057383118E0,-7.361391907E0,1.390929204E1
3.013098500E0,-1.530237854E1,-5.272336121E0,-7.654033356E0,1.790375781E1
3.023139500E0,-1.175445648E1,-6.820416870E0,-6.995852051E0,1.528487093E1
3.033180500E0,-3.636388092E0,-7.031028900E0,-4.674928436E0,9.193130133E0
3.043221500E0,5.422024841E0,4.438270569E-1,-1.196012878E-1,5.441474093E0
3.053262500E0,1.693278809E0,4.256398773E0,5.408253479E-1,4.612658203E0
3.063303500E0,-8.321495361E0,-3.488944702E0,-5.176385651E0,1.040264335E1
3.073344500E0,-1.855541382E0,-4.797224121E0,-7.920778656E0,9.444317212E0
3.083385500E0,2.263293457E0,-6.295308838E0,-9.191186829E0,1.136799569E1
3.093426500E0,-4.778962097E0,-6.468348999E0,-1.056832306E1,1.328034148E1
3.103467500E0,-7.638914795E0,-6.398743744E0,-8.009843445E0,1.278493382E1
3.113508500E0,-6.829547882E0,-7.053781586E0,-6.823260956E0,1.195639783E1
3.123549500E0,-7.749834137E0,-7.193441162E0,-7.219636688E0,1.280346355E1
3.133590500E0,-6.124514008E0,-5.720354462E0,-6.991211700E0,1.091371468E1
3.143630500E0,-5.184768219E0,-3.952231293E0,-7.569159851E0,9.989701423E0
3.153671500E0,-5.007536774E0,-3.384911041E0,-7.945926361E0,9.983526082E0
3.163712500E0,-4.083059235E0,-3.134182434E0,-8.278534698E0,9.748261845E0
3.173753500E0,-3.663631439E0,-4.471651154E0,-7.919132080E0,9.804616885E0
3.183794500E0,-4.925806732E0,-7.205715637E0,-4.526586914E0,9.832390294E0
